id,speech_id,person_id,surname
1595,2925096,31457,thompson
1596,2925097,2976,carper
1597,2925098,25821,lankford
1598,2925099,2976,carper
1599,2925100,23582,goldenkoff
1600,2925101,2976,carper
1601,2925102,33141,cha
1602,2925103,2976,carper
1603,2925104,33141,cha
1604,2925105,2976,carper
1605,2925106,33141,cha
1606,2925107,2976,carper
1607,2925108,23582,goldenkoff
1608,2925109,2976,carper
1609,2925110,31457,thompson
1610,2925111,2976,carper
1611,2925112,31457,thompson
1612,2925113,2976,carper
1613,2925114,25821,lankford
1614,2925115,2976,carper
1615,2925116,31457,thompson
1616,2925117,2976,carper
1617,2925118,31457,thompson
1618,2925119,2976,carper
1619,2925120,25821,lankford
1620,2925121,31457,thompson
1621,2925122,25821,lankford
1622,2925123,31457,thompson
1623,2925124,25821,lankford
1624,2925125,31457,thompson
1625,2925126,25821,lankford
1626,2925127,31457,thompson
1627,2925128,25821,lankford
1628,2925129,23582,goldenkoff
1629,2925130,25821,lankford
1630,2925131,23582,goldenkoff
1631,2925132,23582,goldenkoff
1632,2925133,25821,lankford
1633,2925134,2976,carper
1634,2925135,31457,thompson
1635,2925136,2976,carper
1636,2925137,31457,thompson
1637,2925138,2976,carper
1638,2925139,25821,lankford
1639,2925140,2976,carper
1640,2925141,25821,lankford
1641,2925142,2976,carper
1642,2925143,25821,lankford
1643,2925144,2976,carper
1644,2925145,25821,lankford
1645,2925146,2976,carper
1646,2925147,25821,lankford
1647,2925148,2976,carper
1648,2925149,25821,lankford
1649,2925150,24982,johnson
1650,2925151,34571,shorter
1651,2925152,24982,johnson
1652,2925153,34572,lopez
1653,2925154,24982,johnson
1654,2925155,34574,witte
1655,2925156,24982,johnson
1656,2925157,34575,komer
1657,2925158,24982,johnson
1658,2925159,34576,tyson
1659,2925160,24982,johnson
1660,2925161,34571,shorter
1661,2925162,24982,johnson
1662,2925163,34571,shorter
1663,2925164,24982,johnson
1664,2925165,34571,shorter
1665,2925166,34571,shorter
1666,2925167,24982,johnson
1667,2925168,34571,shorter
1668,2925169,24982,johnson
1669,2925170,34571,shorter
1670,2925171,24982,johnson
1671,2925172,34571,shorter
1672,2925173,24982,johnson
1673,2925174,34571,shorter
1674,2925175,24982,johnson
1675,2925176,34572,lopez
1676,2925177,24982,johnson
1677,2925178,34572,lopez
1678,2925179,24982,johnson
1679,2925180,34572,lopez
1680,2925181,24982,johnson
1681,2925182,34572,lopez
1682,2925183,24982,johnson
1683,2925184,24982,johnson
1684,2925185,24982,johnson
1685,2925186,34574,witte
1686,2925187,24982,johnson
1687,2925188,34574,witte
1688,2925189,24982,johnson
1689,2925190,34574,witte
1690,2925191,24982,johnson
1691,2925192,34574,witte
1692,2925193,24982,johnson
1693,2925194,34574,witte
1694,2925195,24982,johnson
1695,2925196,34574,witte
1696,2925197,24982,johnson
1697,2925198,34574,witte
1698,2925199,24982,johnson
1699,2925200,34574,witte
1700,2925201,24982,johnson
1701,2925202,34575,komer
1702,2925203,24982,johnson
1703,2925204,24982,johnson
1704,2925205,34575,komer
1705,2925206,24982,johnson
1706,2925207,34574,witte
1707,2925208,24982,johnson
1708,2925209,34574,witte
1709,2925210,24982,johnson
1710,2925211,34576,tyson
1711,2925212,24982,johnson
1712,2925213,34576,tyson
1713,2925214,24982,johnson
1714,2925215,34574,witte
1715,2925216,34574,witte
1716,2925217,24982,johnson
1717,2925218,24982,johnson
1718,2925219,24982,johnson
1719,2925220,24982,johnson
1720,2925221,34576,tyson
1721,2925222,24982,johnson
1722,2925223,34576,tyson
1723,2925224,24982,johnson
1724,2925225,34574,witte
1725,2925226,24982,johnson
1726,2925227,34576,tyson
1727,2925228,24982,johnson
1728,2925229,34576,tyson
1729,2925230,24982,johnson
1730,2925231,34576,tyson
1731,2925232,24982,johnson
1732,2925233,34576,tyson
1733,2925234,24982,johnson
1734,2925235,24982,johnson
1735,2925236,24982,johnson
1736,2925237,24982,johnson
1737,2925238,24982,johnson
1738,2925239,24982,johnson
1739,2925240,24982,johnson
1740,2925241,34574,witte
1741,2925242,24982,johnson
1742,2925243,24982,johnson
1743,2925244,24982,johnson
1744,2925245,24982,johnson
1745,2925246,24982,johnson
1746,2925247,24982,johnson
1747,2925248,24982,johnson
1748,2925249,24982,johnson
1749,2925250,24982,johnson
1750,2925251,24982,johnson
1751,2925252,2976,carper
1752,2925253,24982,johnson
1753,2925254,34577,rivers
