committee_id,subcommitee_id,type,committee_name,subcommittee_name,chamber,congress_session,committee_session
186,186,S,Committee on Energy and Natural Resources,Subcommittee on Public Lands and Forests,SENATE,110,1
187,187,S,Committee on Environment and Public Works Environment and Public Works,Subcommittee on Public Lands and Forests,SENATE,110,1
188,188,S,Committee on Finance,"Subcommittee on Energy, Natural Resources, and Infrastructure",SENATE,110,1
189,189,S,Committee on Foreign Relations Foreign Relations,"Subcommittee on Energy, Natural Resources, and Infrastructure",SENATE,110,2
190,190,S,"Committee on Health, Education, Labor, and Pensions HELP",Subcommittee on African Affairs,SENATE,110,1
191,191,S,Committee on Homeland Security and Governmental Affairs,"Oversight of Government Management, the Federal Workforce, and the District of Columbia Subcommittee",SENATE,110,2
192,192,S,Committee on Indian Affairs Indian Affairs,Ad Hoc Subcommittee on Disaster Recovery,SENATE,110,1
193,193,P,"Special Committee on Aging Aging  Subcommittee on Antitrust, Competition Policy and Consumer Rights","Subcommittee on Terrorism, Technology and Homeland Security",SENATE,110,2
194,194,S,Committee on Small Business and Entrepreneurship Small Business,Subcommittee on Human Rights and the Law,SENATE,110,1
195,195,S,Committee on the Budget Budget,Subcommittee on Human Rights and the Law,SENATE,110,2
196,196,S,Committee on Agriculture Agriculture,Subcommittee on Human Rights and the Law,HOUSE,111,2
197,197,S,Committee on Appropriations,Subcommittee on Defense,HOUSE,92,2
198,198,S,Committee on Appropriations,"Subcommittee on Commerce, Justice, Science, and Related Agencies",HOUSE,111,1
199,199,S,Committee on Armed Services Armed Services,Subcommittee on Energy and Water Development,HOUSE,111,1
200,200,S,Committee on Education and Labor Education and Labor,"Subcommittee on Terrorism, Unconventional Threats and Capabilities",HOUSE,111,2
201,201,S,Committee on Energy and Commerce,Subcommittee on Health,HOUSE,111,2
202,202,S,Committee on Foreign Affairs Foreign Affairs  Subcommittee on Africa and Global Health,Subcommittee on Health,HOUSE,111,1
203,203,S,Committee on Financial Services,Subcommittee on Housing and Community Opportunity,HOUSE,111,1
204,204,S,Committee on Homeland Security,"Subcommittee on Management, Investigations, and Oversight",HOUSE,111,2
205,205,S,Committee on Judiciary Judiciary,Subcommittee on Elections,HOUSE,111,2
206,206,S,Committee on Natural Resources,"Subcommittee on National Parks, Forests and Public Lands",HOUSE,111,1
207,207,S,Committee on Oversight and Government Reform,"Subcommittee on Information Policy, Census, and National Archives",HOUSE,111,2
208,208,S,Committee on Rules Rules,Subcommittee on National Security and Foreign Affairs,HOUSE,111,1
209,209,S,Committee on Science and Technology Science and Technology,Subcommittee on Rules and Organization of the House,HOUSE,111,1
210,210,S,Committee on Small Business Small Business,Subcommittee on Rules and Organization of the House,HOUSE,111,2
211,211,S,Committee on the Budget The Budget,Subcommittee on Rules and Organization of the House,HOUSE,111,1
212,212,S,Committee on Transportation and Infrastructure,"Subcommittee on Railroads, Pipelines, and Hazardous Materials",HOUSE,111,1
213,213,S,Committee on Veterans' Affairs Veterans' Affairs,"Subcommittee on Economic Development, Public Buildings, and Emergency Management",HOUSE,111,1
214,214,S,Committee on Veterans' Affairs Veterans' Affairs,Subcommittee on Oversight and Investigations,HOUSE,112,1
215,215,L,Permanent Select Committee on Intelligence,Subcommittee on Intelligence Community Management,HOUSE,111,1
216,216,L,Select Committee on Energy Independence and Global Warming Energy Independence and Global,Subcommittee on Intelligence Community Management,HOUSE,111,1
217,217,S,"Committee on Agriculture, Nutrition, and Forestry",Subcommittee on Intelligence Community Management,SENATE,111,1
218,218,S,Committee on Appropriations,"Subcommittee on Energy, Science and Technology",SENATE,111,2
219,219,S,Committee on Armed Services Armed Services,"Subcommittee on Transportation and Housing and Urban Development, and Related Agencies",SENATE,111,1
220,220,S,"Committee on Banking, Housing, and Urban Affairs Banking",Subcommittee on Strategic Forces,SENATE,111,2
221,221,S,Committee on Indian Affairs Indian Affairs,"Subcommittee on Housing, Transportation, and Community Development",SENATE,111,2
222,222,S,Committee on Budget Budget Committee,Subcommittee on Security and International Trade and Finance,SENATE,111,1
223,223,S,"Committee on Commerce, Science, and Transportation","Subcommittee on Aviation Operations, Safety, and Security",SENATE,111,1
224,224,S,Committee on Energy and Natural Resources,Subcommittee on Public Lands and Forests,SENATE,111,2
225,225,S,Committee on Environment and Public Works,Subcommittee on Water and Wildlife,SENATE,111,1
226,226,S,Committee on Finance Finance,Subcommittee on Clean Air and Nuclear Safety,SENATE,111,1
227,227,S,Committee on Foreign Relations Foreign Relations,Subcommittee on Clean Air and Nuclear Safety,SENATE,111,1
228,228,S,"Committee on Health, Education, Labor, and Pensions HELP",Subcommittee on African Affairs,SENATE,111,2
229,229,S,Committee on Homeland Security and Governmental Affairs,Permanent Subcommittee on Investigations,SENATE,111,2
230,230,P,Special Committee on Aging Aging,Permanent Subcommittee on Investigations,SENATE,111,1
231,231,S,Committee on Judiciary Judiciary,"Subcommittee Federal Financial Management, Government Information, Federal Services, and International Security",SENATE,111,2
232,232,O,Senate Caucus on International Narcotics Control Senate Narcotics Caucus Senate Caucus on International Narcotics Control,Subcommittee on the Constitution,SENATE,111,1
233,233,S,Committee on Rules and Administration Rules and Administration,Subcommittee on Administrative Oversight and the Courts,SENATE,111,2
234,234,S,Committee on Small Business and Entrepreneurship Small Business,Subcommittee on Administrative Oversight and the Courts,SENATE,111,1
235,235,S,Committee on Veterans' Affairs Veterans' Affairs,Subcommittee on Administrative Oversight and the Courts,SENATE,111,2
236,236,P,Impeachment Trial Committee Impeachment Trial (Nixon),Subcommittee on Administrative Oversight and the Courts,SENATE,101,2
237,237,J,Joint Economic Committee Joint Economic,Subcommittee on Administrative Oversight and the Courts,SENATE,111,2
238,238,L,Select Committee on Intelligence Intelligence,Subcommittee on Administrative Oversight and the Courts,SENATE,111,1
239,239,S,Committee on Agriculture Agriculture,Subcommittee on Administrative Oversight and the Courts,HOUSE,112,1
240,240,S,Committee on Natural Resources Natural Resources,"Subcommittee on Conservation, Energy, and Forestry",HOUSE,112,1
241,241,S,Committee on Appropriations,"Subcommittee on Commerce, Justice, Science, and Related Agencies",HOUSE,112,1
242,242,S,Committee on Appropriations Appropriations,"Subcommittee on Commerce, Justice, Science, and Related Agencies",HOUSE,113,1
243,243,S,Committee on Armed Services Armed Services,Subcommittee on Energy and Water Development,HOUSE,112,1
244,244,S,Committee on Education and the Workforce Education and the Workforce,Subcommittee on Seapower and Projection Forces,HOUSE,112,1
245,245,S,Committee on Oversight and Government Reform Oversight and Government Reform  Subcommittee on Higher Education and Workforce Training,Subcommittee on Seapower and Projection Forces,HOUSE,112,1
246,246,S,Committee on Energy and Commerce,Subcommittee on Health,HOUSE,112,1
247,247,S,Committee on Financial Services,Subcommittee on International Monetary Policy and Trade,HOUSE,112,1
248,248,S,"Committee on Foreign Affairs Foreign Affairs  Subcommittee on Europe and Eurasia   Subcommittee on Africa, Global Health, and Human Rights",Subcommittee on International Monetary Policy and Trade,HOUSE,112,1
249,249,S,Committee on Homeland Security,"Subcommittee on Emergency Preparedness, Response, and Communications",HOUSE,112,1
250,250,S,Committee on House Administration,Subcommittee on Elections,HOUSE,112,1
251,251,S,Committee on Rules,Subcommittee on Legislative and Budget Process,HOUSE,112,2
252,252,S,"Committee on Science, Space, and Technology Science, Space, and Technology",Subcommittee on Legislative and Budget Process,HOUSE,112,2
253,253,S,Committee on Small Business,"Subcommittee on Investigations, Oversight, and Regulation",HOUSE,112,2
254,254,S,Committee on the Budget The Budget,Subcommittee on Healthcare and Technology,HOUSE,112,2
255,255,S,Committee on the Judiciary,"Subcommittee on Crime, Terrorism, and Homeland Security",HOUSE,112,1
256,256,S,Committee on Transportation and Infrastructure,"Subcommittee on Economic Development, Public Buildings, and Emergency Management",HOUSE,112,1
257,257,S,Committee on Ways and Means Ways and Means  Subcommittee on Oversight   Subcommittee on Health,Subcommittee on Economic Opportunity,HOUSE,112,1
